Study_Hours,Attendance,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Backlogs,Performance
4.1,88.7,73.1,76.0,6.1,3,0,Good
9.0,57.5,72.8,78.8,4.1,6,0,Excellent
5.1,86.5,55.9,75.1,6.9,2,1,Average
5.8,96.9,42.6,71.1,6.7,3,1,Average
8.0,99.6,100.0,54.3,6.8,1,0,Excellent
6.1,73.1,52.6,59.4,9.0,6,0,Good
0.5,75.4,33.8,65.5,8.6,6,0,Poor
5.8,73.5,41.1,59.4,6.3,4,0,Average
2.8,78.0,63.8,61.9,5.9,7,0,Average
3.8,100.0,92.7,52.7,5.0,5,0,Good
8.5,87.0,77.9,50.2,5.0,1,1,Good
2.5,88.1,64.5,83.0,9.4,4,2,Poor
6.5,100.0,63.4,75.5,5.5,6,1,Good
6.6,78.3,49.8,63.0,8.4,6,2,Average
2.9,79.8,50.1,61.1,6.7,6,1,Poor
3.7,72.6,89.3,77.9,4.8,5,0,Good
4.1,70.4,74.5,60.2,8.7,2,0,Average
3.9,76.2,66.0,71.1,5.4,5,2,Average
2.6,96.3,63.3,73.1,8.1,3,1,Average
6.8,72.6,55.6,56.3,5.1,8,0,Good
4.6,78.5,82.2,59.1,8.5,2,0,Average
6.6,72.8,60.2,52.2,6.4,3,0,Average
7.1,78.1,69.6,54.7,5.4,9,1,Good
0.0,,66.5,72.2,6.4,6,2,Poor
6.4,99.6,70.7,74.4,4.5,1,0,Good
4.9,42.0,84.8,66.5,6.9,6,0,Good
5.0,82.2,61.0,44.3,5.9,7,0,Good
3.4,72.7,87.6,61.6,5.9,6,0,Good
5.0,79.6,92.2,65.2,6.9,4,0,Good
2.6,55.4,94.0,67.8,7.7,2,0,Average
7.4,51.5,20.0,78.0,6.8,3,0,Average
1.5,63.1,67.2,67.1,5.0,2,0,Poor
4.4,66.9,77.0,44.0,6.6,7,0,Good
1.4,91.4,78.6,97.8,9.5,3,4,Poor
5.0,92.7,44.4,77.3,8.9,6,0,Good
3.7,69.1,48.0,58.1,4.0,5,1,Poor
0.9,88.4,56.2,79.8,6.5,2,0,Poor
6.3,76.1,72.1,84.8,6.8,9,0,Excellent
4.8,61.7,80.0,66.0,7.5,5,3,Poor
3.7,100.0,69.1,83.2,5.3,2,0,Good
0.6,73.5,56.0,56.5,6.4,6,0,Poor
5.1,86.7,48.3,80.6,8.5,6,0,Good
8.3,84.1,72.6,64.0,4.6,5,0,Excellent
2.5,87.2,97.8,64.6,5.6,4,0,Good
2.9,85.6,45.4,47.6,5.7,7,0,Average
3.0,98.0,65.5,71.4,6.6,8,0,Good
5.3,70.0,64.7,68.5,8.1,3,1,Average
3.7,68.0,38.2,83.0,7.9,8,2,Average
6.0,65.3,40.1,77.0,3.8,5,1,Average
7.1,79.9,99.2,42.5,6.4,6,0,Excellent
4.5,49.9,71.1,80.0,6.8,5,2,Poor
5.6,90.5,71.7,96.0,7.8,9,0,Excellent
3.5,78.3,38.9,62.4,5.1,6,1,Poor
6.0,76.2,80.8,56.4,6.4,7,2,Average
3.5,78.0,55.9,64.3,5.6,3,3,Poor
5.8,65.6,70.1,57.4,7.7,3,4,Poor
3.0,60.5,81.2,83.2,7.1,8,1,Average
3.1,66.9,63.9,85.1,5.9,5,0,Average
2.7,37.5,68.0,78.5,6.8,2,0,Poor
5.5,42.1,60.0,85.7,8.1,4,0,Average
5.8,62.3,66.5,63.2,4.2,1,0,Average
6.2,68.0,42.3,74.4,4.4,5,0,Average
3.1,76.5,72.2,91.0,5.9,5,0,Good
3.6,76.4,56.1,62.5,7.8,8,0,Average
7.6,100.0,77.6,86.3,5.7,3,0,Excellent
3.2,57.8,72.0,96.1,8.1,7,2,Average
4.0,86.3,44.1,84.8,4.9,6,1,Average
3.6,88.0,64.8,63.5,6.0,6,2,Average
5.9,60.6,56.2,63.6,7.6,9,1,Good
0.9,78.4,64.3,55.6,5.1,7,0,Poor
4.5,80.7,75.4,73.7,7.4,5,1,Good
3.7,66.4,60.9,89.0,6.0,3,0,Average
3.9,91.1,72.4,99.1,8.0,8,1,Excellent
4.8,93.3,68.8,85.3,8.1,3,1,Good
5.5,70.4,61.7,80.7,5.1,9,0,Good
3.3,77.0,63.3,57.6,7.6,5,2,Poor
8.1,87.6,78.1,56.5,6.4,5,1,Excellent
4.3,85.5,46.8,92.8,4.4,5,2,Average
6.9,56.6,86.8,70.2,5.7,5,0,Good
7.6,71.2,55.1,70.4,6.6,3,4,Poor
3.8,87.5,68.1,56.2,6.5,7,2,Average
4.0,63.5,73.2,89.1,4.7,5,0,Average
5.0,77.4,60.8,88.1,7.0,8,2,Good
1.8,57.5,92.5,59.7,5.6,4,0,Average
8.2,67.3,65.8,65.7,8.0,1,0,Good
3.7,100.0,58.8,79.4,5.8,3,0,Good
7.4,81.4,41.8,62.4,7.0,7,0,Good
4.9,53.0,84.7,69.9,6.7,10,2,Average
4.5,95.8,74.6,92.6,4.7,5,0,Good
4.6,80.5,63.0,100.0,7.2,3,0,Good
5.5,63.0,87.2,66.0,5.8,5,0,Good
5.9,83.4,25.7,52.7,7.7,4,3,Poor
6.1,59.2,77.3,56.5,7.4,8,1,Good
3.3,88.5,82.0,60.6,5.5,4,0,Average
4.8,78.6,79.3,77.4,6.3,5,1,Good
5.3,52.6,79.4,88.0,5.7,5,3,Average
8.1,67.7,79.3,69.5,5.7,7,2,Good
6.7,76.9,47.3,96.2,7.8,6,3,Average
7.2,82.8,65.4,65.8,6.4,1,0,Good
9.4,73.7,88.8,75.7,5.2,6,1,Excellent
3.3,75.5,44.5,79.8,7.2,6,4,Poor
5.3,66.7,70.7,98.0,9.1,5,2,Average
4.5,68.9,57.0,74.1,4.6,8,1,Average
2.2,86.7,50.5,73.7,7.8,5,0,Average
7.3,87.0,65.2,56.4,7.3,6,0,Excellent
4.3,30.0,52.7,86.9,6.5,5,0,Average
11.1,70.4,76.0,60.9,3.8,5,0,Excellent
3.9,46.6,59.2,69.3,6.3,10,0,Good
6.1,74.1,44.1,60.1,6.2,2,1,Average
3.0,74.1,60.0,60.5,8.0,3,1,Poor
5.7,71.3,84.8,57.8,7.3,5,0,Good
2.1,85.2,62.0,46.1,6.9,8,4,Poor
6.9,57.2,73.8,78.7,4.0,6,0,Good
1.8,78.7,89.0,67.2,5.4,6,2,Poor
0.2,67.1,56.6,76.7,3.1,10,1,Poor
6.4,65.5,65.9,60.5,7.0,5,0,Good
3.5,54.7,63.9,46.4,6.7,5,0,Average
5.3,75.7,83.9,100.0,8.0,5,0,Excellent
2.1,81.5,54.8,83.5,7.8,8,1,Average
5.9,68.0,55.6,64.1,7.1,6,0,Good
5.5,84.5,52.7,52.9,5.8,5,0,Good
2.9,93.1,55.1,64.0,7.0,3,0,Average
6.4,88.9,57.6,53.9,6.8,4,0,Good
0.9,76.7,77.8,64.1,5.0,6,1,Poor
8.7,79.6,73.8,89.8,7.1,4,1,Excellent
3.1,67.5,49.9,69.3,6.2,10,1,Average
4.0,83.2,65.0,87.2,7.8,3,0,Good
7.6,56.1,76.8,84.3,6.0,6,1,Good
6.7,89.5,69.9,50.5,6.2,8,3,Average
4.7,82.8,63.1,81.2,6.0,5,0,Good
2.9,91.8,60.6,90.3,8.5,5,0,Good
2.9,81.6,31.3,62.9,8.0,10,0,Average
5.6,72.8,73.5,92.9,6.2,6,1,Good
6.4,65.0,61.6,57.7,3.4,6,0,Good
6.8,62.3,58.6,63.7,4.2,5,0,Good
7.8,70.3,83.4,67.6,6.1,6,1,Good
5.0,71.4,66.1,62.8,3.8,10,3,Poor
5.4,51.1,61.8,35.4,4.3,2,0,Poor
7.8,75.2,46.5,87.6,7.5,7,3,Average
7.0,68.0,65.4,66.4,4.4,7,1,Good
6.1,,62.4,58.6,7.6,8,4,Poor
1.0,65.0,36.4,76.0,7.6,5,2,Poor
2.3,58.2,75.6,70.3,6.3,5,2,Poor
4.0,46.5,46.3,72.0,6.8,6,0,Average
2.4,71.7,74.1,48.2,6.8,6,2,Poor
5.2,100.0,95.8,45.7,6.8,6,0,Excellent
5.0,82.6,66.3,60.0,4.1,4,2,Poor
2.3,67.5,63.5,52.1,5.4,6,0,Average
3.3,76.0,80.4,77.0,6.8,6,1,Average
6.8,76.1,49.6,73.5,5.2,10,0,Excellent
4.9,53.9,63.0,77.3,8.7,4,1,Average
1.4,70.1,50.9,60.9,7.3,5,0,Poor
5.3,76.5,71.5,81.8,7.0,6,0,Excellent
4.0,68.3,56.6,78.8,5.7,5,2,Poor
7.0,76.9,63.1,67.0,7.5,6,0,Good
5.9,74.4,38.7,71.7,5.4,3,0,Average
5.6,43.9,63.6,70.2,7.5,7,0,Good
3.8,57.8,68.8,89.2,5.2,1,0,Average
4.7,75.2,68.3,63.8,6.2,6,0,Good
5.4,78.8,55.7,58.8,3.3,5,0,Average
7.3,69.9,52.3,83.0,6.1,4,3,Average
10.4,49.4,83.4,71.5,8.3,7,0,Excellent
5.8,82.6,69.4,62.9,5.8,3,0,Good
5.7,68.9,26.8,88.5,6.7,6,1,Average
9.0,82.6,49.2,66.4,6.9,10,1,Excellent
4.4,63.1,67.5,92.1,6.1,5,2,Average
3.7,51.6,77.3,75.9,5.2,4,0,Average
3.9,62.8,59.0,78.6,4.3,2,1,Poor
5.6,81.3,82.9,58.5,7.9,4,0,Good
7.1,80.4,40.8,99.6,7.0,7,0,Excellent
1.8,56.1,53.4,71.1,5.7,7,1,Poor
8.0,87.3,83.4,85.7,5.8,7,1,Excellent
1.7,61.2,84.8,67.6,6.6,7,1,Average
2.8,79.3,68.9,58.5,6.3,2,0,Average
4.4,93.5,52.9,72.6,5.6,5,3,Poor
8.0,60.2,58.2,79.2,6.6,6,2,Average
5.4,74.9,57.2,73.0,7.1,2,0,Good
4.6,59.9,50.4,65.8,6.1,7,2,Poor
4.2,86.6,49.2,76.0,4.3,4,1,Average
4.9,72.6,57.7,78.7,3.0,8,2,Poor
5.4,92.4,56.9,82.5,4.4,4,0,Good
4.4,64.7,65.6,66.7,6.1,1,1,Poor
3.9,98.8,46.4,54.2,5.1,5,0,Average
9.1,81.7,65.3,62.7,7.2,7,0,Excellent
6.9,75.3,85.3,48.8,4.8,1,1,Average
1.8,81.8,61.2,61.2,6.8,6,0,Average
2.4,69.0,73.0,71.3,5.4,6,1,Average
4.1,55.0,60.7,78.2,5.6,7,0,Average
4.2,45.4,56.4,53.5,6.5,3,0,Poor
0.0,53.1,58.7,51.6,7.5,6,0,Poor
5.8,74.1,56.0,61.1,5.4,4,0,Average
6.7,85.2,62.9,98.0,8.0,5,1,Good
7.1,96.0,55.6,66.1,5.2,5,3,Average
4.4,74.8,88.8,83.4,5.7,6,0,Good
